open_time,open,high,low,close,volume,num_trades,taker_base_vol
1598702400000,11447.38,11516.0,11433.69,11500.99,6167.428095,112924,3023.451111
1598716800000,11500.98,11549.0,11475.81,11522.11,6626.590657,116110,3242.175634
1598731200000,11522.12,11534.98,11458.09,11465.84,4039.471473,88812,1852.397912
1598745600000,11465.84,11650.0,11458.0,11612.72,8383.347728,140790,4524.964023
1598760000000,11612.61,11626.53,11565.01,11592.91,5757.664978,111976,2828.025946
1598774400000,11592.9,11613.05,11548.78,11603.09,5764.25177,103048,2985.313443
1598788800000,11603.09,11665.11,11557.69,11616.2,9147.386676,150774,4752.713097
1598803200000,11616.21,11685.0,11580.0,11642.59,7004.687348,125689,3373.418864
1598817600000,11642.59,11719.0,11588.55,11711.16,7120.540554,124264,3793.680529
1598832000000,11711.17,11726.89,11667.85,11679.09,5931.029072,104030,2915.524756
1598846400000,11679.08,11705.99,11594.06,11618.65,7383.595721,108490,3663.049076
1598860800000,11618.64,11710.0,11570.0,11680.58,10972.58196,137472,5610.390617
1598875200000,11680.72,11800.77,11661.11,11742.16,15217.431874,201584,7298.065551
1598889600000,11742.15,11751.36,11690.0,11725.0,8288.688232,133280,3669.173882
1598904000000,11725.0,11731.49,11614.9,11649.51,7560.290885,137206,3423.736402
1598918400000,11649.51,11703.0,11515.0,11691.49,9489.107295,162027,4375.092475
1598932800000,11691.43,11940.0,11672.17,11923.74,15155.723105,232085,7991.204619
1598947200000,11923.74,11950.0,11834.01,11868.99,14340.237181,260075,6939.371526
1598961600000,11868.98,12044.67,11797.26,12039.33,16262.584085,257128,8159.91931
1598976000000,12039.33,12050.85,11947.19,11957.41,11870.852056,203945,5215.437336
1598990400000,11957.41,12050.0,11851.0,11921.97,11029.689946,206232,4794.994116
1599004800000,11921.97,11954.57,11825.0,11835.01,10308.76245,194384,4833.215606
1599019200000,11835.02,11900.0,11718.16,11722.84,12093.280827,186496,5767.999696
1599033600000,11723.59,11747.99,11160.1,11406.02,26260.484395,372795,11532.623099
1599048000000,11406.01,11470.65,11193.79,11329.67,19386.777298,295897,9093.451217
1599062400000,11329.66,11400.0,11234.65,11389.21,11903.731704,194383,5521.455828
1599076800000,11389.21,11439.0,11302.0,11388.54,7268.808928,129569,3223.564441
1599091200000,11388.54,11446.13,11331.49,11350.56,8497.638063,145266,3754.794283
1599105600000,11350.57,11422.0,11237.0,11400.84,12777.823233,203497,6099.520551
1599120000000,11400.44,11462.6,11180.97,11208.02,13621.692098,222896,6340.539604
1599134400000,11208.01,11249.97,10460.0,10670.28,44598.379395,460836,19499.782219
1599148800000,10670.28,10769.52,10550.0,10682.69,19223.142948,246274,8680.747703
1599163200000,10682.69,10794.62,9960.8,10140.85,23231.430278,332841,9891.4485
1599177600000,10138.29,10351.06,10068.0,10265.42,15830.747615,270336,7140.086871
1599192000000,10265.41,10338.98,10093.1,10295.59,12036.686932,183191,5559.669366
1599206400000,10295.59,10528.97,10292.48,10422.17,16783.923861,249662,7855.055803
1599220800000,10422.52,10497.84,9875.5,10424.67,24493.8821,345693,11524.693281
1599235200000,10424.67,10598.0,10303.56,10570.13,15613.199578,226629,6827.089981
1599249600000,10570.13,10627.05,10430.2,10446.25,7975.159027,159349,3801.239364
1599264000000,10446.25,10565.68,10383.96,10408.46,7815.254389,148092,3467.418256
1599278400000,10408.46,10500.44,10362.2,10406.77,8432.942436,134961,4199.769495
1599292800000,10406.77,10406.77,10123.0,10225.66,15068.014871,254443,7331.43107
1599307200000,10225.65,10347.87,9975.0,10273.89,20193.422993,292290,9662.526505
1599321600000,10274.13,10298.99,9825.0,9956.66,26904.883238,406903,12738.869974
1599336000000,9956.66,10200.0,9878.58,10166.69,11587.087641,240093,6078.117023
1599350400000,10166.69,10245.75,10052.92,10163.72,8575.147064,165703,4318.606943
1599364800000,10163.71,10250.0,9994.86,10230.37,11083.905812,206350,5409.024755
1599379200000,10230.36,10285.0,10165.29,10266.32,10837.319384,198129,5492.994198
1599393600000,10266.32,10300.0,10120.19,10173.37,10696.45027,190752,5253.370506
1599408000000,10173.44,10280.0,10141.28,10258.3,6530.064548,129796,3394.411758
1599422400000,10258.3,10347.14,10180.17,10256.2,8645.901737,162462,4165.030667
1599436800000,10255.89,10312.0,10180.0,10204.1,5587.392185,99710,2623.680094
1599451200000,10203.89,10240.82,10052.38,10113.56,9315.794226,134920,4423.693759
1599465600000,10113.81,10184.53,9995.08,10026.46,11592.647986,175546,5472.649285
1599480000000,10026.47,10166.66,9875.0,10144.01,18787.872843,252351,9245.346065
1599494400000,10144.0,10232.0,10124.0,10148.47,8456.594345,126316,4148.402588
1599508800000,10148.48,10410.75,10086.28,10373.44,8879.929091,138520,4662.928882
1599523200000,10373.45,10438.0,10295.57,10302.81,7281.236852,105399,3578.684703
1599537600000,10302.82,10318.97,10220.0,10264.5,8481.166459,131052,4146.199558
1599552000000,10264.29,10333.4,9930.0,9982.99,16847.818438,229943,7465.955347
1599566400000,9981.74,10153.96,9920.32,10098.58,17072.140296,224984,7962.797226
1599580800000,10098.58,10168.81,9935.0,9991.21,10393.490531,152121,4831.80899
1599595200000,9991.21,10218.0,9850.0,10126.65,13416.025842,204626,6425.368646
1599609600000,10126.66,10149.25,9981.01,10026.68,6655.306375,121925,3208.839059
